total_return,final_value,mdd,sharpe,buys,sells,trades,time_in_market,days_in_market,short_ma,long_ma
725.3656066914383,412682.8033457191,-49.961750065409525,0.7125131517403717,24,24,48,56.983684838838045,1432,1,232
791.9073899160032,445953.6949580016,-49.961750065409525,0.7304874245052262,22,22,44,57.06327099084759,1434,1,233
783.9750348885613,441987.5174442806,-49.961750065409525,0.728379782583028,22,22,44,57.10306406685237,1435,1,234
827.7098069434209,463854.9034717104,-49.961750065409525,0.7399074816327844,21,21,42,56.983684838838045,1432,1,235
827.7098069434209,463854.9034717104,-49.961750065409525,0.7399074816327844,21,21,42,56.983684838838045,1432,1,236
823.9422086932497,461971.1043466248,-49.961750065409525,0.7389483342662257,21,21,42,57.023477914842815,1433,1,237
829.8155988806288,464907.7994403144,-49.96175006540951,0.7404361849134129,20,20,40,57.06327099084759,1434,1,238
817.4422593162246,458721.1296581123,-49.96175006540951,0.7370022301356997,18,18,36,57.10306406685237,1435,1,239
692.6753041264656,396337.6520632328,-49.9617500654095,0.7014798118843657,18,18,36,57.14285714285714,1436,1,240
692.6753041264656,396337.6520632328,-49.9617500654095,0.7014798118843657,18,18,36,57.14285714285714,1436,1,241
704.6215417377903,402310.77086889517,-49.961750065409504,0.7049608557485678,17,17,34,57.182650218861916,1437,1,242
704.6215417377903,402310.77086889517,-49.961750065409504,0.7049608557485678,17,17,34,57.182650218861916,1437,1,243
673.2905893780423,386645.2946890212,-49.961750065409525,0.6957966506346286,18,18,36,57.14285714285714,1436,1,244
574.6161412085821,337308.07060429105,-54.45134443940436,0.6633133502687018,19,19,38,57.2224432948667,1438,1,245
548.4109677435778,324205.4838717889,-54.45134443940436,0.6541079725181939,20,20,40,57.2224432948667,1438,1,246
579.466340706646,339733.170353323,-54.45134443940436,0.664595422183579,19,19,38,57.2224432948667,1438,1,247
641.6773265766067,370838.66328830336,-54.45134443940436,0.6843773405382382,18,18,36,57.26223637087146,1439,1,248
641.6773265766067,370838.66328830336,-54.45134443940436,0.6843773405382382,18,18,36,57.26223637087146,1439,1,249
513.4594371721503,306729.7185860751,-60.30908094392622,0.6394108272873846,19,19,38,57.34182252288102,1441,1,250
1343.8240962197801,721912.0481098901,-46.789167706327014,0.8763594306044706,96,97,193,63.987266215678474,1608,2,20
1052.803947471252,576401.9737356261,-47.11043522521726,0.8186516452646097,94,95,189,64.02705929168326,1609,2,21
1296.9367600865567,698468.3800432783,-50.09117849181873,0.864315490092608,87,88,175,64.54436927974533,1622,2,22
1419.33467124095,759667.335620475,-46.74082241674795,0.8830595039910029,84,85,169,64.7433346597692,1627,2,23
1456.8713098559188,778435.6549279593,-52.697856778422924,0.8918611581745629,83,84,167,64.70354158376442,1626,2,24
1745.1429935716642,922571.4967858321,-55.82192704640195,0.9388012065720253,83,84,167,64.66374850775965,1625,2,25
2036.5638319512548,1068281.9159756275,-55.68688943959514,0.9801727416561372,79,80,159,64.54436927974533,1622,2,26
1719.9729965791096,909986.4982895548,-58.49442537884033,0.9384508172559745,82,83,165,64.46478312773577,1620,2,27
2152.8416858602036,1126420.8429301018,-58.46484223655101,0.9926359573036259,80,81,161,64.18623159570235,1613,2,28
1516.4939734266834,808246.9867133417,-63.519513282615414,0.9050375701448758,77,78,155,64.46478312773577,1620,2,29
1408.1073297956864,754053.6648978433,-62.57687898988179,0.8881785433129012,78,79,157,64.34540389972145,1617,2,30
1323.3867166521093,711693.3583260546,-59.07987322716751,0.8765405033205314,79,80,159,64.46478312773577,1620,2,31
1430.4734356398885,765236.7178199443,-53.10782739591794,0.8945541850680246,76,77,153,64.70354158376442,1626,2,32
1067.4329882036131,583716.4941018065,-51.764987033955364,0.8286732049019254,76,77,153,64.50457620374056,1621,2,33
